"tradingdate","close","open","high","low","volumn","pctchange"
2023-02-21 00:00:00.000,1082.37,1086.69,1095.1,1081.8,670.61,-0.4
2023-02-20 00:00:00.000,1086.69,1059.74,1088.01,1059.56,682.29,2.58
2023-02-17 00:00:00.000,1059.31,1058.29,1062.25,1053.26,465.08,0.1
2023-02-16 00:00:00.000,1058.29,1048.2,1058.29,1047.45,475.8,0.96
2023-02-15 00:00:00.000,1048.2,1038.64,1051.89,1034.39,585.76,0.92
2023-02-14 00:00:00.000,1038.64,1043.7,1046.64,1032.76,395.73,-0.48
2023-02-13 00:00:00.000,1043.7,1055.3,1055.3,1031.7,681.32,-1.1
2023-02-10 00:00:00.000,1055.3,1064.03,1066.28,1054.08,463.94,-0.82
2023-02-09 00:00:00.000,1064.03,1072.22,1075.2,1064.03,473.85,-0.76
2023-02-08 00:00:00.000,1072.22,1065.84,1079.51,1063.5,569.32,0.6
2023-02-07 00:00:00.000,1065.84,1089.29,1092.12,1065.18,673.21,-2.15
2023-02-06 00:00:00.000,1089.29,1077.15,1089.29,1067.24,527.01,1.13
2023-02-03 00:00:00.000,1077.15,1077.59,1081.89,1070.46,563.83,-0.04
2023-02-02 00:00:00.000,1077.59,1075.97,1083.36,1070.81,634.74,0.15
2023-02-01 00:00:00.000,1075.97,1111.18,1116.96,1075.97,1.03,-3.17
2023-01-31 00:00:00.000,1111.18,1102.57,1111.18,1088.25,748.42,0.78
2023-01-30 00:00:00.000,1102.57,1117.1,1118.46,1102.57,798.68,-1.3
2023-01-27 00:00:00.000,1117.1,1108.08,1124.3,1108.08,604.93,0.81
2023-01-19 00:00:00.000,1108.08,1098.28,1111.72,1094.46,617.71,0.89
2023-01-18 00:00:00.000,1098.28,1088.29,1100.39,1088.29,604.2,0.92
2023-01-17 00:00:00.000,1088.29,1066.68,1088.29,1066.68,673.93,2.03
2023-01-16 00:00:00.000,1066.68,1060.17,1067.74,1057.87,520.79,0.61
2023-01-13 00:00:00.000,1060.17,1056.39,1066.39,1055.23,670.23,0.36
2023-01-12 00:00:00.000,1056.39,1055.76,1060.97,1050.27,506.47,0.06
2023-01-11 00:00:00.000,1055.76,1053.35,1065.69,1053.35,545.18,0.23
2023-01-10 00:00:00.000,1053.35,1054.21,1057.44,1045.75,546.26,-0.08
2023-01-09 00:00:00.000,1054.21,1058.28,1062.12,1050.95,475.2,0.26
2023-01-06 00:00:00.000,1051.44,1055.82,1065.58,1047.26,698.5,-0.41
2023-01-05 00:00:00.000,1055.82,1048.17,1058.14,1046.64,535.05,0.91
2023-01-04 00:00:00.000,1046.35,1043.9,1052.6,1041.56,647.73,0.23
2023-01-03 00:00:00.000,1043.9,1007.09,1043.9,1007.09,551.33,3.66
